product,views,video_url,image1,image2,image3
051,3031,https://www.tiktok.com/@liletti_md/video/7649852663152135444,product-051-1.jpg,product-051-2.jpg,product-051-3.jpg
052,2954,https://www.tiktok.com/@liletti_md/video/7647218411973446932,product-052-1.jpg,product-052-2.jpg,product-052-3.jpg
053,2898,https://www.tiktok.com/@liletti_md/video/7652070865449880852,product-053-1.jpg,product-053-2.jpg,product-053-3.jpg
054,2887,https://www.tiktok.com/@liletti_md/video/7650756740375481621,product-054-1.jpg,product-054-2.jpg,product-054-3.jpg
055,2878,https://www.tiktok.com/@liletti_md/video/7646780415507827988,product-055-1.jpg,product-055-2.jpg,product-055-3.jpg
056,2844,https://www.tiktok.com/@liletti_md/video/7649348397140348180,product-056-1.jpg,product-056-2.jpg,product-056-3.jpg
057,2824,https://www.tiktok.com/@liletti_md/video/7647253815141403924,product-057-1.jpg,product-057-2.jpg,product-057-3.jpg
058,2790,https://www.tiktok.com/@liletti_md/video/7646424473331059989,product-058-1.jpg,product-058-2.jpg,product-058-3.jpg
059,2788,https://www.tiktok.com/@liletti_md/video/7652430735629962516,product-059-1.jpg,product-059-2.jpg,product-059-3.jpg
060,2785,https://www.tiktok.com/@liletti_md/video/7648367628683103508,product-060-1.jpg,product-060-2.jpg,product-060-3.jpg
061,2757,https://www.tiktok.com/@liletti_md/video/7646455702852029716,product-061-1.jpg,product-061-2.jpg,product-061-3.jpg
062,2731,https://www.tiktok.com/@liletti_md/video/7646882896309013780,product-062-1.jpg,product-062-2.jpg,product-062-3.jpg
063,2709,https://www.tiktok.com/@liletti_md/video/7644247356136836372,product-063-1.jpg,product-063-2.jpg,product-063-3.jpg
064,2708,https://www.tiktok.com/@liletti_md/video/7644442909600779540,product-064-1.jpg,product-064-2.jpg,product-064-3.jpg
065,2673,https://www.tiktok.com/@liletti_md/video/7651985342756588820,product-065-1.jpg,product-065-2.jpg,product-065-3.jpg
066,2647,https://www.tiktok.com/@liletti_md/video/7646501954385890580,product-066-1.jpg,product-066-2.jpg,product-066-3.jpg
067,2633,https://www.tiktok.com/@liletti_md/video/7650416773514235157,product-067-1.jpg,product-067-2.jpg,product-067-3.jpg
068,2548,https://www.tiktok.com/@liletti_md/video/7648600821898153236,product-068-1.jpg,product-068-2.jpg,product-068-3.jpg
069,2537,https://www.tiktok.com/@liletti_md/video/7648267254563491093,product-069-1.jpg,product-069-2.jpg,product-069-3.jpg
070,2493,https://www.tiktok.com/@liletti_md/video/7649770935477816597,product-070-1.jpg,product-070-2.jpg,product-070-3.jpg
071,2479,https://www.tiktok.com/@liletti_md/video/7654180389472259349,product-071-1.jpg,product-071-2.jpg,product-071-3.jpg
072,2441,https://www.tiktok.com/@liletti_md/video/7648173465253530901,product-072-1.jpg,product-072-2.jpg,product-072-3.jpg
073,2379,https://www.tiktok.com/@liletti_md/video/7649739589921295636,product-073-1.jpg,product-073-2.jpg,product-073-3.jpg
074,2346,https://www.tiktok.com/@liletti_md/video/7647155420355742997,product-074-1.jpg,product-074-2.jpg,product-074-3.jpg
075,2194,https://www.tiktok.com/@liletti_md/video/7647120287221255444,product-075-1.jpg,product-075-2.jpg,product-075-3.jpg
076,2193,https://www.tiktok.com/@liletti_md/video/7646471921105685781,product-076-1.jpg,product-076-2.jpg,product-076-3.jpg
077,2169,https://www.tiktok.com/@liletti_md/video/7653523357262040340,product-077-1.jpg,product-077-2.jpg,product-077-3.jpg
078,2148,https://www.tiktok.com/@liletti_md/video/7646724375965895957,product-078-1.jpg,product-078-2.jpg,product-078-3.jpg
079,2033,https://www.tiktok.com/@liletti_md/video/7653064721909763348,product-079-1.jpg,product-079-2.jpg,product-079-3.jpg
080,2022,https://www.tiktok.com/@liletti_md/video/7653879091489148181,product-080-1.jpg,product-080-2.jpg,product-080-3.jpg
081,2011,https://www.tiktok.com/@liletti_md/video/7646818040130145556,product-081-1.jpg,product-081-2.jpg,product-081-3.jpg
